barcode,split,plate,plate_index,plate_row,plate_col,Well Position
BC232,1,P4,57,4,9,E10
BC236,1,P4,58,4,10,E11
BC240,1,P4,59,4,11,E12
BC244,1,P4,60,5,0,F01
BC248,1,P4,61,5,1,F02
BC252,1,P4,62,5,2,F03
BC256,1,P4,63,5,3,F04
BC260,1,P4,64,5,4,F05
BC264,1,P4,65,5,5,F06
BC268,1,P4,66,5,6,F07
BC272,1,P4,67,5,7,F08
BC276,1,P4,68,5,8,F09
BC280,1,P4,69,5,9,F10
BC284,1,P4,70,5,10,F11
BC288,1,P4,71,5,11,F12
BC292,1,P4,72,6,0,G01
BC296,1,P4,73,6,1,G02
BC300,1,P4,74,6,2,G03
BC304,1,P4,75,6,3,G04
BC308,1,P4,76,6,4,G05
BC312,1,P4,77,6,5,G06
BC316,1,P4,78,6,6,G07
BC320,1,P4,79,6,7,G08
BC324,1,P4,80,6,8,G09
BC328,1,P4,81,6,9,G10
BC332,1,P4,82,6,10,G11
BC336,1,P4,83,6,11,G12
BC340,1,P4,84,7,0,H01
BC344,1,P4,85,7,1,H02
BC348,1,P4,86,7,2,H03
BC352,1,P4,87,7,3,H04
BC356,1,P4,88,7,4,H05
BC360,1,P4,89,7,5,H06
BC364,1,P4,90,7,6,H07
BC368,1,P4,91,7,7,H08
BC372,1,P4,92,7,8,H09
BC376,1,P4,93,7,9,H10
BC380,1,P4,94,7,10,H11
BC384,1,P4,95,7,11,H12
BC1,2,P1,0,0,0,A01
BC5,2,P1,1,0,1,A02
BC9,2,P1,2,0,2,A03
BC13,2,P1,3,0,3,A04
BC17,2,P1,4,0,4,A05
BC21,2,P1,5,0,5,A06
BC25,2,P1,6,0,6,A07
BC29,2,P1,7,0,7,A08
BC33,2,P1,8,0,8,A09
BC37,2,P1,9,0,9,A10
BC41,2,P1,10,0,10,A11
BC45,2,P1,11,0,11,A12
BC49,2,P1,12,1,0,B01
BC53,2,P1,13,1,1,B02
BC57,2,P1,14,1,2,B03
BC61,2,P1,15,1,3,B04
BC65,2,P1,16,1,4,B05
BC69,2,P1,17,1,5,B06
BC73,2,P1,18,1,6,B07
BC77,2,P1,19,1,7,B08
BC81,2,P1,20,1,8,B09
BC85,2,P1,21,1,9,B10
BC89,2,P1,22,1,10,B11
BC93,2,P1,23,1,11,B12
BC97,2,P1,24,2,0,C01
BC101,2,P1,25,2,1,C02
BC105,2,P1,26,2,2,C03
BC109,2,P1,27,2,3,C04
BC113,2,P1,28,2,4,C05
BC117,2,P1,29,2,5,C06
BC121,2,P1,30,2,6,C07
BC125,2,P1,31,2,7,C08
BC129,2,P1,32,2,8,C09
BC133,2,P1,33,2,9,C10
BC137,2,P1,34,2,10,C11
BC141,2,P1,35,2,11,C12
BC145,2,P1,36,3,0,D01
BC149,2,P1,37,3,1,D02
BC153,2,P1,38,3,2,D03
BC157,2,P1,39,3,3,D04
BC161,2,P1,40,3,4,D05
BC165,2,P1,41,3,5,D06
BC169,2,P1,42,3,6,D07
BC173,2,P1,43,3,7,D08
BC177,2,P1,44,3,8,D09
BC181,2,P1,45,3,9,D10
BC185,2,P1,46,3,10,D11
BC189,2,P1,47,3,11,D12
BC193,2,P1,48,4,0,E01
BC197,2,P1,49,4,1,E02
BC201,2,P1,50,4,2,E03
BC205,2,P1,51,4,3,E04
BC209,2,P1,52,4,4,E05
BC213,2,P1,53,4,5,E06
BC217,2,P1,54,4,6,E07
BC221,2,P1,55,4,7,E08
BC225,2,P1,56,4,8,E09
BC229,2,P1,57,4,9,E10
BC233,2,P1,58,4,10,E11
BC237,2,P1,59,4,11,E12
BC241,2,P1,60,5,0,F01
BC245,2,P1,61,5,1,F02
BC249,2,P1,62,5,2,F03
BC253,2,P1,63,5,3,F04
BC257,2,P1,64,5,4,F05
BC261,2,P1,65,5,5,F06
BC265,2,P1,66,5,6,F07
BC269,2,P1,67,5,7,F08
BC273,2,P1,68,5,8,F09
BC277,2,P1,69,5,9,F10
BC281,2,P1,70,5,10,F11
BC285,2,P1,71,5,11,F12
BC289,2,P1,72,6,0,G01
BC293,2,P1,73,6,1,G02
BC297,2,P1,74,6,2,G03
BC301,2,P1,75,6,3,G04
BC305,2,P1,76,6,4,G05
BC309,2,P1,77,6,5,G06
BC313,2,P1,78,6,6,G07
BC317,2,P1,79,6,7,G08
BC321,2,P1,80,6,8,G09
BC325,2,P1,81,6,9,G10
BC329,2,P1,82,6,10,G11
BC333,2,P1,83,6,11,G12
BC337,2,P1,84,7,0,H01
BC341,2,P1,85,7,1,H02
BC345,2,P1,86,7,2,H03
BC349,2,P1,87,7,3,H04
BC353,2,P1,88,7,4,H05
BC357,2,P1,89,7,5,H06
BC361,2,P1,90,7,6,H07
BC365,2,P1,91,7,7,H08
BC369,2,P1,92,7,8,H09
BC373,2,P1,93,7,9,H10
BC377,2,P1,94,7,10,H11
BC381,2,P1,95,7,11,H12
BC2,2,P2,0,0,0,A01
BC6,2,P2,1,0,1,A02
BC10,2,P2,2,0,2,A03
BC14,2,P2,3,0,3,A04
BC18,2,P2,4,0,4,A05
BC22,2,P2,5,0,5,A06
BC26,2,P2,6,0,6,A07
BC30,2,P2,7,0,7,A08
BC34,2,P2,8,0,8,A09
BC38,2,P2,9,0,9,A10
BC42,2,P2,10,0,10,A11
BC46,2,P2,11,0,11,A12
BC50,2,P2,12,1,0,B01
BC54,2,P2,13,1,1,B02
BC58,2,P2,14,1,2,B03
BC62,2,P2,15,1,3,B04
BC66,2,P2,16,1,4,B05
BC70,2,P2,17,1,5,B06
BC74,2,P2,18,1,6,B07
BC78,2,P2,19,1,7,B08
BC82,2,P2,20,1,8,B09
BC86,2,P2,21,1,9,B10
BC90,2,P2,22,1,10,B11
BC94,2,P2,23,1,11,B12
BC98,2,P2,24,2,0,C01
BC102,2,P2,25,2,1,C02
BC106,2,P2,26,2,2,C03
BC110,2,P2,27,2,3,C04
BC114,2,P2,28,2,4,C05
BC118,2,P2,29,2,5,C06
BC122,2,P2,30,2,6,C07
BC126,2,P2,31,2,7,C08
BC130,2,P2,32,2,8,C09
BC134,2,P2,33,2,9,C10
BC138,2,P2,34,2,10,C11
BC142,2,P2,35,2,11,C12
BC146,2,P2,36,3,0,D01
BC150,2,P2,37,3,1,D02
BC154,2,P2,38,3,2,D03
BC158,2,P2,39,3,3,D04
BC162,2,P2,40,3,4,D05
BC166,2,P2,41,3,5,D06
BC170,2,P2,42,3,6,D07
BC174,2,P2,43,3,7,D08
BC178,2,P2,44,3,8,D09
BC182,2,P2,45,3,9,D10
BC186,2,P2,46,3,10,D11
BC190,2,P2,47,3,11,D12
BC194,2,P2,48,4,0,E01
BC198,2,P2,49,4,1,E02
BC202,2,P2,50,4,2,E03
BC206,2,P2,51,4,3,E04
BC210,2,P2,52,4,4,E05
BC214,2,P2,53,4,5,E06
BC218,2,P2,54,4,6,E07
BC222,2,P2,55,4,7,E08
BC226,2,P2,56,4,8,E09
BC230,2,P2,57,4,9,E10
BC234,2,P2,58,4,10,E11
BC238,2,P2,59,4,11,E12
BC242,2,P2,60,5,0,F01
BC246,2,P2,61,5,1,F02
BC250,2,P2,62,5,2,F03
BC254,2,P2,63,5,3,F04
BC258,2,P2,64,5,4,F05
BC262,2,P2,65,5,5,F06
BC266,2,P2,66,5,6,F07
BC270,2,P2,67,5,7,F08
BC274,2,P2,68,5,8,F09
BC278,2,P2,69,5,9,F10
BC282,2,P2,70,5,10,F11
BC286,2,P2,71,5,11,F12
BC290,2,P2,72,6,0,G01
BC294,2,P2,73,6,1,G02
BC298,2,P2,74,6,2,G03
BC302,2,P2,75,6,3,G04
BC306,2,P2,76,6,4,G05
BC310,2,P2,77,6,5,G06
BC314,2,P2,78,6,6,G07
BC318,2,P2,79,6,7,G08
BC322,2,P2,80,6,8,G09
BC326,2,P2,81,6,9,G10
BC330,2,P2,82,6,10,G11
BC334,2,P2,83,6,11,G12
BC338,2,P2,84,7,0,H01
BC342,2,P2,85,7,1,H02
BC346,2,P2,86,7,2,H03
BC350,2,P2,87,7,3,H04
BC354,2,P2,88,7,4,H05
BC358,2,P2,89,7,5,H06
BC362,2,P2,90,7,6,H07
BC366,2,P2,91,7,7,H08
BC370,2,P2,92,7,8,H09
BC374,2,P2,93,7,9,H10
BC378,2,P2,94,7,10,H11
BC382,2,P2,95,7,11,H12
BC3,2,P3,0,0,0,A01
BC7,2,P3,1,0,1,A02
BC11,2,P3,2,0,2,A03
BC15,2,P3,3,0,3,A04
BC19,2,P3,4,0,4,A05
BC23,2,P3,5,0,5,A06
BC27,2,P3,6,0,6,A07
BC31,2,P3,7,0,7,A08
BC35,2,P3,8,0,8,A09
BC39,2,P3,9,0,9,A10
BC43,2,P3,10,0,10,A11
BC47,2,P3,11,0,11,A12
BC51,2,P3,12,1,0,B01
BC55,2,P3,13,1,1,B02
BC59,2,P3,14,1,2,B03
BC63,2,P3,15,1,3,B04
BC67,2,P3,16,1,4,B05
BC71,2,P3,17,1,5,B06
BC75,2,P3,18,1,6,B07
BC79,2,P3,19,1,7,B08
BC83,2,P3,20,1,8,B09
BC87,2,P3,21,1,9,B10
BC91,2,P3,22,1,10,B11
BC95,2,P3,23,1,11,B12
BC99,2,P3,24,2,0,C01
BC103,2,P3,25,2,1,C02
BC107,2,P3,26,2,2,C03
BC111,2,P3,27,2,3,C04
BC115,2,P3,28,2,4,C05
BC119,2,P3,29,2,5,C06
BC123,2,P3,30,2,6,C07
BC127,2,P3,31,2,7,C08
BC131,2,P3,32,2,8,C09
BC135,2,P3,33,2,9,C10
BC139,2,P3,34,2,10,C11
BC143,2,P3,35,2,11,C12
BC147,2,P3,36,3,0,D01
BC151,2,P3,37,3,1,D02
BC155,2,P3,38,3,2,D03
BC159,2,P3,39,3,3,D04
BC163,2,P3,40,3,4,D05
BC167,2,P3,41,3,5,D06
BC171,2,P3,42,3,6,D07
BC175,2,P3,43,3,7,D08
BC179,2,P3,44,3,8,D09
BC183,2,P3,45,3,9,D10
BC187,2,P3,46,3,10,D11
BC191,2,P3,47,3,11,D12
BC195,2,P3,48,4,0,E01
BC199,2,P3,49,4,1,E02
BC203,2,P3,50,4,2,E03
BC207,2,P3,51,4,3,E04
BC211,2,P3,52,4,4,E05
BC215,2,P3,53,4,5,E06
BC219,2,P3,54,4,6,E07
BC223,2,P3,55,4,7,E08
BC227,2,P3,56,4,8,E09
BC231,2,P3,57,4,9,E10
BC235,2,P3,58,4,10,E11
BC239,2,P3,59,4,11,E12
BC243,2,P3,60,5,0,F01
BC247,2,P3,61,5,1,F02
BC251,2,P3,62,5,2,F03
BC255,2,P3,63,5,3,F04
BC259,2,P3,64,5,4,F05
BC263,2,P3,65,5,5,F06
BC267,2,P3,66,5,6,F07
BC271,2,P3,67,5,7,F08
BC275,2,P3,68,5,8,F09
BC279,2,P3,69,5,9,F10
BC283,2,P3,70,5,10,F11
BC287,2,P3,71,5,11,F12
BC291,2,P3,72,6,0,G01
BC295,2,P3,73,6,1,G02
BC299,2,P3,74,6,2,G03
BC303,2,P3,75,6,3,G04
BC307,2,P3,76,6,4,G05
BC311,2,P3,77,6,5,G06
BC315,2,P3,78,6,6,G07
BC319,2,P3,79,6,7,G08
BC323,2,P3,80,6,8,G09
BC327,2,P3,81,6,9,G10
BC331,2,P3,82,6,10,G11
BC335,2,P3,83,6,11,G12
BC339,2,P3,84,7,0,H01
BC343,2,P3,85,7,1,H02
BC347,2,P3,86,7,2,H03
BC351,2,P3,87,7,3,H04
BC355,2,P3,88,7,4,H05
BC359,2,P3,89,7,5,H06
BC363,2,P3,90,7,6,H07
BC367,2,P3,91,7,7,H08
BC371,2,P3,92,7,8,H09
BC375,2,P3,93,7,9,H10
